file,samples,mean_dt_us,sd_dt_us,min_dt_us,max_dt_us,max_abs_error_us
cpu_only_100_run1.csv,1999,19999.98998998999,10.885018389415185,19969,20012,31
cpu_only_100_run10.csv,1999,19999.98998998999,11.072795948407634,19969,20013,31
cpu_only_100_run2.csv,1999,19999.98998998999,10.949782943952789,19969,20013,31
cpu_only_100_run3.csv,1999,19999.98998998999,11.14977022022632,19969,20012,31
cpu_only_100_run4.csv,1999,19999.98998998999,11.133860254473698,19969,20013,31
cpu_only_100_run5.csv,1999,19999.98998998999,11.261444405361262,19969,20012,31
cpu_only_100_run6.csv,1999,19999.98998998999,11.056548774645236,19969,20012,31
cpu_only_100_run7.csv,1999,19999.98998998999,11.100979574847512,19969,20012,31
cpu_only_100_run8.csv,1999,19999.98998998999,11.177580568304633,19969,20012,31
cpu_only_100_run9.csv,1999,19999.98998998999,11.06039775494744,19969,20012,31
