run,source_file,n_total_samples,n_active_samples,n_stable_samples,mean_power_cpu_100_active_mW,sd_power_cpu_100_active_mW,min_power_cpu_100_active_mW,max_power_cpu_100_active_mW,mean_power_cpu_100_stable_mW,sd_power_cpu_100_stable_mW,min_power_cpu_100_stable_mW,max_power_cpu_100_stable_mW,P_idle_mW,K_mW
cpu_only_100_run1,cpu_only_100_run1.csv,1999,999,799,193.97522522522522,26.203125422134196,166.25,223.75,194.0535043804756,26.214354606842786,166.25,223.75,168.956222,25.097282380475605
cpu_only_100_run10,cpu_only_100_run10.csv,1999,999,799,194.43193193193193,26.243607798317626,166.25,225.0,194.4712140175219,26.25697396135018,166.25,225.0,168.956222,25.514992017521905
cpu_only_100_run2,cpu_only_100_run2.csv,1999,999,799,194.74224224224224,26.147797076642807,166.25,225.0,194.79036295369212,26.14324900264822,166.25,225.0,168.956222,25.834140953692128
cpu_only_100_run3,cpu_only_100_run3.csv,1999,999,799,194.33808808808809,25.971687572411476,166.25,223.75,194.31007509386734,26.015541826679364,166.25,223.75,168.956222,25.353853093867343
cpu_only_100_run4,cpu_only_100_run4.csv,1999,999,799,194.60085085085086,26.49574637425091,166.25,225.0,194.60732165206508,26.441084190485384,166.25,225.0,168.956222,25.651099652065085
cpu_only_100_run5,cpu_only_100_run5.csv,1999,999,799,194.33808808808809,26.1754858669132,166.25,225.0,194.3476220275344,26.226768225062422,166.25,225.0,168.956222,25.391400027534416
cpu_only_100_run6,cpu_only_100_run6.csv,1999,999,799,194.54954954954954,26.60010438709034,166.25,225.0,194.6229662077597,26.62697404804001,166.25,225.0,168.956222,25.666744207759706
cpu_only_100_run7,cpu_only_100_run7.csv,1999,999,799,194.2967967967968,26.2425984364191,166.25,223.75,194.3319774718398,26.23316694978006,166.25,223.75,168.956222,25.375755471839796
cpu_only_100_run8,cpu_only_100_run8.csv,1999,999,799,195.53178178178177,26.375255669883522,166.25,225.0,195.71495619524404,26.452687910893104,167.5,225.0,168.956222,26.758734195244045
cpu_only_100_run9,cpu_only_100_run9.csv,1999,999,799,194.37937937937937,26.161332072484754,166.25,225.0,194.39142678347935,26.196224755591196,166.25,225.0,168.956222,25.43520478347935
