file,samples,mean_current_mA,sd_current_mA,min_current_mA,max_current_mA,mean_power_mW,sd_power_mW,min_power_mW,max_power_mW
stable_idle_10ms_run1.csv,5999,33.12997999666611,0.19718365398210005,32.5,34.0,168.49474912485414,1.394309733446295,166.25,172.5
stable_idle_10ms_run10.csv,5999,33.257251208534754,0.1960597065716717,32.75,34.0,169.28988164694115,1.3571080957153119,166.25,172.5
stable_idle_10ms_run2.csv,5999,33.15906817802967,0.19889310699100113,32.5,33.75,168.6720703450575,1.3963474650435121,166.25,172.5
stable_idle_10ms_run3.csv,5999,33.18853142190365,0.20009415999003044,32.5,34.0,168.86397732955493,1.3973209791570442,166.25,172.5
stable_idle_10ms_run4.csv,5999,33.19007334555759,0.19484279781389344,32.5,33.75,168.89044007334556,1.3746868592597377,166.25,172.5
stable_idle_10ms_run5.csv,5999,33.19003167194533,0.19576369293499135,32.5,33.75,168.85168361393565,1.3758260421831405,166.25,172.5
stable_idle_10ms_run6.csv,5999,33.203908984830804,0.19725560991473445,32.5,33.75,168.95545090848475,1.3901077029103375,166.25,172.5
stable_idle_10ms_run7.csv,5999,33.21761960326721,0.19282849616196943,32.75,34.0,169.0652608768128,1.3520574744660023,166.25,172.5
stable_idle_10ms_run8.csv,5999,33.24258209701617,0.19968711075147041,32.5,34.0,169.22862143690614,1.3783970555303604,166.25,172.5
stable_idle_10ms_run9.csv,5999,33.24695782630438,0.19678009093843585,32.75,33.75,169.25008334722455,1.354793704486026,166.25,172.5
