timestamp_ms,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
2456,0.330000,5.086250,33.000,167.500,0,OK
2476,0.332500,5.090000,33.250,170.000,0,OK
2496,0.327500,5.088750,32.750,166.250,0,OK
2516,0.330000,5.090000,33.000,167.500,0,OK
2536,0.330000,5.088750,33.000,167.500,0,OK
2556,0.332500,5.088750,33.000,167.500,0,OK
2576,0.327500,5.090000,33.250,170.000,0,OK
2596,0.327500,5.088750,33.000,166.250,0,OK
2616,0.327500,5.088750,32.750,166.250,0,OK
2636,0.330000,5.088750,33.000,167.500,0,OK
2656,0.327500,5.090000,32.750,166.250,0,OK
2676,0.327500,5.090000,32.750,166.250,0,OK
2696,0.332500,5.088750,33.250,170.000,0,OK
2716,0.327500,5.090000,32.750,166.250,0,OK
2736,0.327500,5.088750,33.000,167.500,0,OK
2756,0.327500,5.088750,32.750,166.250,0,OK
2776,0.330000,5.088750,32.750,167.500,0,OK
2796,0.330000,5.085000,33.000,167.500,0,OK
2816,0.332500,5.090000,33.250,170.000,0,OK
2836,0.327500,5.088750,32.750,166.250,0,OK
2856,0.330000,5.090000,33.000,167.500,0,OK
2876,0.335000,5.091250,33.500,170.000,0,OK
2896,0.337500,5.090000,33.250,170.000,0,OK
2916,0.327500,5.088750,33.000,167.500,0,OK
2936,0.330000,5.091250,33.000,167.500,0,OK
2956,0.327500,5.090000,32.750,166.250,0,OK
2976,0.330000,5.087500,33.000,167.500,0,OK
2996,0.327500,5.088750,32.750,166.250,0,OK
3016,0.330000,5.088750,33.000,167.500,0,OK
3036,0.330000,5.090000,33.000,167.500,0,OK
3056,0.327500,5.091250,32.750,166.250,0,OK
3076,0.330000,5.090000,32.750,166.250,0,OK
3096,0.327500,5.090000,33.250,170.000,0,OK
3116,0.330000,5.088750,33.000,167.500,0,OK
3136,0.327500,5.088750,32.750,166.250,0,OK
3156,0.332500,5.088750,33.250,170.000,0,OK
3176,0.327500,5.090000,32.750,166.250,0,OK
3196,0.327500,5.088750,32.750,166.250,0,OK
3216,0.330000,5.090000,33.000,167.500,0,OK
3236,0.330000,5.090000,33.000,167.500,0,OK
3256,0.327500,5.090000,33.000,167.500,0,OK
3276,0.327500,5.088750,33.000,167.500,0,OK
3296,0.332500,5.090000,33.000,167.500,0,OK
3316,0.330000,5.086250,33.000,167.500,0,OK
3336,0.327500,5.090000,32.750,166.250,0,OK
3356,0.330000,5.090000,33.000,167.500,0,OK
3376,0.330000,5.090000,33.000,167.500,0,OK
3396,0.327500,5.088750,32.750,166.250,0,OK
3416,0.337500,5.088750,32.750,166.250,0,OK
3436,0.330000,5.090000,33.000,167.500,0,OK
3456,0.330000,5.088750,32.750,166.250,0,OK
3476,0.330000,5.090000,33.000,167.500,0,OK
3496,0.330000,5.088750,33.000,167.500,0,OK
3516,0.330000,5.090000,33.000,167.500,0,OK
3536,0.330000,5.088750,33.000,167.500,0,OK
3556,0.330000,5.088750,33.000,167.500,0,OK
3576,0.330000,5.090000,33.000,167.500,0,OK
3596,0.330000,5.090000,33.000,167.500,0,OK
3616,0.327500,5.090000,33.250,170.000,0,OK
3636,0.327500,5.090000,33.000,166.250,0,OK
3656,0.330000,5.090000,33.000,167.500,0,OK
3676,0.330000,5.087500,33.000,167.500,0,OK
3696,0.330000,5.088750,33.000,167.500,0,OK
3716,0.332500,5.090000,33.250,170.000,0,OK
3736,0.330000,5.088750,33.000,167.500,0,OK
3756,0.330000,5.088750,33.000,167.500,0,OK
3776,0.330000,5.088750,33.000,167.500,0,OK
