condition,run,source_file,tx_bytes,period_ms,top_percent,cpu_I_idle_mA,cpu_I_active_mA,cpu_active_minus_idle_mA,active_start_s,active_end_s,active_mean_mA,active_std_mA,active_min_mA,active_max_mA,active_top5_mean_mA,active_top5_minus_mean_mA,final_idle_start_s,final_idle_end_s,final_idle_mean_mA,final_idle_std_mA,final_idle_min_mA,final_idle_max_mA,final_idle_top5_mean_mA,final_idle_top5_minus_mean_mA,active_mean_minus_final_idle_mean_mA,active_top5_minus_final_idle_top5_mA,excess_top5_mA,relative_excess_top5_gain,relative_active_top5_vs_idle_top5_gain
uart_256B_100ms,run1,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run1.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,47.241656488716,1.3570823322417271,41.579641,61.205496,49.9428347935969,2.701178304880898,32.0,39.0,46.69907568670429,1.3605024866634683,38.682355,53.922609,49.28751971747287,2.588444030768578,0.5425808020117131,0.6553150761240332,0.11273427411232007,0.005584000738643211,0.0324593376587035
uart_256B_100ms,run10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.720293602008,1.408260697359051,40.130668,62.664059,49.35290107221907,2.63260747021107,32.0,39.0,46.50684626423,1.358007779086889,41.579641,53.922609,49.27162408202139,2.7647778177913906,0.21344733777799973,0.08127699019767931,-0.13217034758032042,-0.006546716376422592,0.004025845528098713
uart_256B_100ms,run2,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run2.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.680440477027005,1.3770456690320645,40.85507,61.205496,49.34469604375144,2.664255566724435,32.0,39.0,46.59397462192429,1.3407343615386127,40.130668,53.922609,49.27104349258382,2.6770688706595323,0.0864658551027162,0.07365255116761915,-0.012813303935097053,-0.0006346738753713471,0.003648188657454586
uart_256B_100ms,run3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.73841953541899,1.388147467116759,40.85507,61.934695,49.3449217803914,2.606502244972411,32.0,39.0,46.98813002578714,1.3640245402282039,40.85507,55.377863,49.31397716946952,2.325847143682374,-0.24971049036815174,0.030944610921885385,0.2806551012900371,0.013901524671601934,0.0015327612796147063
uart_256B_100ms,run4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.493674341383,1.3654323950661413,40.130668,61.205496,49.34304513976912,2.8493707983861185,32.0,39.0,46.613228352587136,1.3661133436875317,40.130668,54.650156,49.284954504823794,2.6717261522366584,-0.11955401120413711,0.05809063494532296,0.17764464614946007,0.008799168160042205,0.002877369380315965
uart_256B_100ms,run5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.685331416237005,1.396311481782086,40.130668,61.205496,49.3527272647123,2.6673958484752944,32.0,39.0,46.634301432368574,1.344035168837934,40.85507,53.922609,49.271424355522214,2.6371229231536404,0.05102998386843183,0.08130290919008587,0.030272925321654043,0.0014994910703783307,0.004027129358361362
uart_256B_100ms,run6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,47.049151631083,1.375286915602963,41.579641,61.205496,49.954598850483336,2.9054472194003367,32.0,39.0,46.814746565644285,1.3779016216093998,40.85507,53.922609,49.30248719668879,2.4877406310445025,0.23440506543871464,0.6521116537945488,0.4177065883558342,0.020690015669868153,0.03230066441762506
uart_256B_100ms,run7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.83569228426,1.3918850868505492,40.85507,61.205496,49.34901423665963,2.513321952399629,32.0,39.0,46.72019300053571,1.3679197644454217,41.579641,53.922609,49.293553825631584,2.5733608250958753,0.11549928372429008,0.055460411028043666,-0.060038872696246415,-0.002973870299187986,0.002747088040301735
uart_256B_100ms,run8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.845096386198,1.395154005822413,40.130668,61.205496,49.35314117774984,2.508044791551839,32.0,39.0,46.69867992782286,1.3612759596988324,41.579641,54.650156,49.290535926603674,2.591855998780815,0.1464164583751426,0.06260525114616655,-0.08381120722897606,-0.00415137141528848,0.0031009892190802103
uart_256B_100ms,run9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,256,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.78719904795495,1.3948236338635975,40.130668,60.476465,49.34616246356757,2.5589634156126237,32.0,39.0,46.904271604644286,1.368533251611299,40.85507,53.922609,49.30544606316963,2.4011744585253467,-0.1170725566893367,0.04071640039794033,0.15778895708727703,0.00781566794892599,0.002016781601578119
