condition,input_definition,segment,runs,MAE_mean_mA,MAE_std_mA,mean_error_mean_mA,mean_error_std_mA,median_error_mean_mA,median_error_std_mA,positive_error_ratio_mean,positive_error_ratio_std
uart_256B_100ms,occupancy,burst,10,4.985193838615764,0.17828545241051388,4.9803124152130085,0.17836579013967446,4.951767799999838,0.30606251906897314,0.9991909583201133,5.9753924841754905e-05
uart_256B_100ms,occupancy,final_idle,10,1.172165429366691,0.04829386704434114,0.5113823653821694,0.15016648238193844,0.5379569000001766,0.22954688930172984,0.561925187959312,0.047562387074554846
uart_256B_100ms,occupancy,idle_all,10,1.1706782263981532,0.03749509637991388,0.49549145301400027,0.1255631247684884,0.5379569000000572,0.2295468893016879,0.5566504082356994,0.03965998962006042
uart_256B_100ms,occupancy,initial_idle,10,1.1691910129069842,0.056061462797861936,0.4796004913603477,0.1888350106137582,0.5379569000000061,0.22954688930172984,0.5513756125697126,0.05970035935330072
uart_256B_100ms,occupancy,inter_burst,10,4.986656794832245,0.17415737617048485,4.981403900189835,0.17451000396506425,5.024356899999839,0.22954688930173,0.9991570037493938,7.764228451718737e-05
uart_256B_100ms,pulse,burst,10,20.234726416749297,0.17810676429747874,20.23397692313754,0.17835393257799015,20.58034593635898,0.34979665801858706,0.9994784916055135,0.0001463103587854151
uart_256B_100ms,pulse,final_idle,10,1.1720290782431952,0.048264798012939675,0.511160505464171,0.1501664824144028,0.5379569000001766,0.22954688930172984,0.561869488007912,0.04756976248397188
uart_256B_100ms,pulse,idle_all,10,1.1706100507930777,0.03748448264177675,0.49538052298289664,0.1255631247764027,0.5379569000000572,0.2295468893016879,0.5566225582416744,0.039662239906470075
uart_256B_100ms,pulse,initial_idle,10,1.1691910129069842,0.056061462797861936,0.4796004913603477,0.1888350106137582,0.5379569000000061,0.22954688930172984,0.5513756125697126,0.05970035935330072
uart_256B_100ms,pulse,inter_burst,10,1.2924805042317407,0.05193556115462627,0.6233684376615851,0.17450904179479035,0.5379569000001766,0.22954688930172984,0.568981827571803,0.0544001913174147
uart_512B_100ms,occupancy,burst,10,9.671701288781687,0.17794487588890617,9.671053087790884,0.1780353976911878,9.583345999999835,0.0,0.9997827630055565,3.5392103950222713e-05
uart_512B_100ms,occupancy,final_idle,10,1.242578875924262,0.06261250473261845,0.6904504988905581,0.1506330448116071,0.6831187000001762,0.2294950279480992,0.6165072002707996,0.04579530202551756
uart_512B_100ms,occupancy,idle_all,10,1.2589776373009527,0.08096635608087849,0.7216653094014581,0.18301681058005242,0.7556914000000731,0.30599337059742965,0.6252093999681001,0.0545979980400025
uart_512B_100ms,occupancy,initial_idle,10,1.2753763964091933,0.12894576643855643,0.752880103462773,0.29317271367418907,0.9008368000000033,0.3747638113190719,0.6339115938507169,0.08792000578592427
uart_512B_100ms,occupancy,inter_burst,10,9.669365022542376,0.1736540693992699,9.66870001352595,0.17373516753843268,9.583345999999835,0.0,0.9997822893125653,2.460365167705184e-05
uart_512B_100ms,pulse,burst,10,20.663189240938927,0.17795199148016502,20.662919536965845,0.17803503155157843,20.72675689723418,0.22954688833003767,0.9997946882145248,5.2163919177922715e-05
uart_512B_100ms,pulse,final_idle,10,1.2422307365041763,0.06261289726501194,0.6900067790101889,0.15063304487987172,0.6831187000001762,0.2294950279480992,0.6164444003239996,0.04579516999350987
uart_512B_100ms,pulse,idle_all,10,1.2588035675237337,0.08095652296713006,0.7214434493725296,0.18301681057924368,0.7556914000000731,0.30599337059742965,0.6251779999812,0.05460221669746034
uart_512B_100ms,pulse,initial_idle,10,1.2753763964091933,0.12894576643855643,0.752880103462773,0.29317271367418907,0.9008368000000033,0.3747638113190719,0.6339115938507169,0.08792000578592427
uart_512B_100ms,pulse,inter_burst,10,1.420398557661149,0.07070662901191128,0.8756071312151847,0.1737350378023472,0.6831417364815444,0.22948694034553518,0.6327214342706823,0.05157938291109889
uart_64B_100ms,occupancy,burst,10,1.7211662712945828,0.15547665512201111,1.4969512642967477,0.28950738160879397,1.5143786999998354,0.3506386652556086,0.8976246226431914,0.04380942238253204
uart_64B_100ms,occupancy,final_idle,10,1.1395262718234616,0.0665457200265146,0.37251129196228494,0.2556265574574305,0.32018960000017527,0.37484850055491525,0.5175905067386932,0.08176730915467709
uart_64B_100ms,occupancy,idle_all,10,1.1597502976479959,0.054322071182678566,0.4435187662596632,0.21359476003314098,0.3927787000000734,0.35063866525553805,0.5402185912940043,0.06798546246745962
