condition,run,source_file,input_definition,segment,sample_count,MAE_mA,mean_error_mA,median_error_mA,positive_error_ratio
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,occupancy,idle_all,2000001,1.1382225886887254,0.4065644357747054,0.6105460000000065,0.528162735918632
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,occupancy,initial_idle,1000000,1.1536481790790005,0.46128160680700186,0.6105460000000065,0.545462
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,occupancy,inter_burst,1555514,5.126148111133518,5.121186025570803,5.096945999999839,0.9992285508198576
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,pulse,burst,444486,20.37236883632658,20.371195320276893,20.799345829626084,0.9993318124755335
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,pulse,final_idle,1000001,1.1226227747662294,0.3516254595637126,0.610546000000177,0.5108234891765108
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,pulse,idle_all,2000001,1.1381354691662682,0.40645350577133454,0.6105460000000065,0.528142735928632
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,pulse,initial_idle,1000000,1.1536481790790005,0.46128160680700186,0.6105460000000065,0.545462
uart_256B_100ms,3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run3.csv,pulse,inter_burst,1555514,1.33325235962561,0.7631513799846605,0.610546000000177,0.6124515754920882
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,occupancy,burst,444455,5.19869843490654,5.192939877108489,5.096945999999839,0.9991405204126402
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,occupancy,final_idle,1000001,1.2220854611899579,0.6539613429435014,0.610546000000177,0.6064443935556064
