condition,runs,idle_mean_mA,active_phase_mean_mA,active_period_mean_mA,active_period_max_mean_mA,active_period_top5_mean_mA,uart_mean_minus_idle_mA,uart_max_minus_idle_mA,uart_top5_minus_idle_mA,relative_uart_gain_mean,relative_uart_gain_max,relative_uart_gain_top5
uart_256B_100ms,10,46.81374670024685,46.77192777398473,46.77192773899872,58.0812577575,49.30346248081125,-0.04181896124812497,11.267511057253154,2.489715780564402,-0.0020713941020825883,0.5581070225696007,0.12332163281445167
uart_512B_100ms,10,46.51214064628625,46.56963236319713,46.56963139619324,57.70362939300001,48.96549576295977,0.057490749906993696,11.191488746713755,2.4533551166735172,0.0028476556262379982,0.5543414540098349,0.12152060135686704
uart_64B_100ms,10,46.80951613749686,46.835347909561115,46.835347393208174,57.766838677500004,49.30608625750572,0.025831255711310064,10.957322540003142,2.496570120008856,0.0012794844523354566,0.5427426365114887,0.12366114479359129
