file,samples,mean_current_mA,sd_current_mA,min_current_mA,max_current_mA,mean_power_mW,sd_power_mW,min_power_mW,max_power_mW
stable_idle_noise_run1.csv,2999,33.18581193731244,0.19618934599990553,32.75,33.75,168.87170723574525,1.3956895258208344,166.25,172.5
stable_idle_noise_run10.csv,2999,33.21048682894298,0.1869827213995518,32.75,33.75,168.93131043681228,1.3525141452136873,166.25,172.5
stable_idle_noise_run2.csv,2999,33.19889963321107,0.1991110738834672,32.5,33.75,168.96965655218406,1.388355599115724,166.25,172.5
stable_idle_noise_run3.csv,2999,33.20340113371124,0.19213635886781325,32.75,33.75,169.00675225075025,1.3677587866188314,166.25,172.5
stable_idle_noise_run4.csv,2999,33.20406802267423,0.19466737519617575,32.5,33.75,168.9959153051017,1.3647939756216299,166.25,172.5
stable_idle_noise_run5.csv,2999,33.20473491163721,0.19652820911063806,32.5,33.75,168.9946648882961,1.379640225144997,166.25,172.5
stable_idle_noise_run6.csv,2999,33.20881960653551,0.1915834281516544,32.5,34.0,168.97924308102702,1.3623487524664435,166.25,172.5
stable_idle_noise_run7.csv,2999,33.20640213404468,0.19616238034280478,32.5,33.75,168.9804934978326,1.3873485913606463,166.25,172.5
stable_idle_noise_run8.csv,2999,33.228409469823276,0.19514155000933478,32.75,34.0,169.11345448482828,1.357236013709603,166.25,172.5
stable_idle_noise_run9.csv,2999,33.162387462487494,0.19277935014265435,32.5,33.75,168.68706235411804,1.3829024860671029,166.25,172.5
