timestamp_ms,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
2134,0.327500,5.090000,32.750,166.250,0,OK
2154,0.325000,5.090000,32.750,166.250,0,OK
2174,0.330000,5.085000,33.000,167.500,0,OK
2194,0.322500,5.088750,32.250,163.750,0,OK
2214,0.327500,5.090000,32.750,166.250,0,OK
2234,0.327500,5.090000,32.750,166.250,0,OK
2254,0.327500,5.090000,32.750,166.250,0,OK
2274,0.337500,5.090000,32.750,166.250,0,OK
2294,0.327500,5.091250,32.750,166.250,0,OK
2314,0.330000,5.091250,32.750,166.250,0,OK
2334,0.327500,5.090000,32.750,166.250,0,OK
2354,0.330000,5.088750,33.000,167.500,0,OK
2374,0.327500,5.090000,32.750,166.250,0,OK
2394,0.327500,5.090000,32.750,166.250,0,OK
2414,0.327500,5.090000,32.750,166.250,0,OK
2434,0.327500,5.090000,32.750,166.250,0,OK
2454,0.327500,5.088750,32.750,166.250,0,OK
2474,0.327500,5.090000,32.500,166.250,0,OK
2494,0.327500,5.090000,33.000,166.250,0,OK
2514,0.327500,5.090000,32.750,166.250,0,OK
2534,0.325000,5.088750,32.500,166.250,0,OK
2554,0.325000,5.090000,32.500,166.250,0,OK
2574,0.325000,5.090000,32.500,166.250,0,OK
2594,0.327500,5.090000,32.750,166.250,0,OK
2614,0.327500,5.091250,32.750,166.250,0,OK
2634,0.327500,5.090000,33.000,167.500,0,OK
2654,0.327500,5.090000,32.750,166.250,0,OK
2674,0.327500,5.088750,32.750,166.250,0,OK
2694,0.330000,5.086250,33.000,167.500,0,OK
2714,0.327500,5.088750,32.750,166.250,0,OK
2734,0.330000,5.090000,33.000,167.500,0,OK
2754,0.325000,5.090000,32.500,166.250,0,OK
2774,0.325000,5.090000,32.500,166.250,0,OK
2794,0.330000,5.090000,32.750,166.250,0,OK
2814,0.327500,5.091250,32.500,166.250,0,OK
2834,0.325000,5.090000,32.500,166.250,0,OK
2854,0.327500,5.090000,32.750,166.250,0,OK
2874,0.330000,5.088750,33.000,167.500,0,OK
2894,0.327500,5.091250,32.750,166.250,0,OK
2914,0.325000,5.091250,32.500,166.250,0,OK
2934,0.327500,5.088750,32.750,166.250,0,OK
2954,0.327500,5.088750,32.750,166.250,0,OK
2974,0.327500,5.090000,32.750,166.250,0,OK
2994,0.332500,5.091250,32.500,166.250,0,OK
3014,0.327500,5.090000,32.500,166.250,0,OK
3034,0.327500,5.083750,32.750,166.250,0,OK
3054,0.325000,5.088750,32.500,166.250,0,OK
3074,0.327500,5.090000,32.750,166.250,0,OK
3094,0.327500,5.090000,32.750,166.250,0,OK
3114,0.325000,5.091250,32.500,166.250,0,OK
3134,0.322500,5.088750,32.250,163.750,0,OK
3154,0.327500,5.090000,33.000,167.500,0,OK
3174,0.330000,5.090000,32.750,166.250,0,OK
3194,0.327500,5.090000,33.000,166.250,0,OK
3214,0.327500,5.086250,32.750,166.250,0,OK
3234,0.327500,5.090000,32.750,166.250,0,OK
3254,0.327500,5.091250,32.750,166.250,0,OK
3274,0.330000,5.091250,33.000,167.500,0,OK
3294,0.330000,5.090000,33.000,167.500,0,OK
3314,0.327500,5.091250,32.750,166.250,0,OK
3334,0.327500,5.088750,32.500,166.250,0,OK
3354,0.327500,5.090000,32.500,166.250,0,OK
3374,0.325000,5.090000,32.500,166.250,0,OK
3394,0.325000,5.088750,32.500,166.250,0,OK
3414,0.327500,5.090000,32.750,166.250,0,OK
3434,0.327500,5.091250,32.750,166.250,0,OK
3454,0.327500,5.091250,32.750,166.250,0,OK
3474,0.325000,5.090000,32.500,166.250,0,OK
3494,0.327500,5.090000,33.000,167.500,0,OK
3514,0.330000,5.088750,32.750,166.250,0,OK
3534,0.325000,5.090000,33.000,166.250,0,OK
3554,0.327500,5.086250,32.750,166.250,0,OK
3574,0.327500,5.088750,32.750,166.250,0,OK
3594,0.330000,5.090000,33.000,167.500,0,OK
3614,0.327500,5.090000,32.750,166.250,0,OK
3634,0.327500,5.091250,32.750,166.250,0,OK
3654,0.332500,5.090000,32.500,166.250,0,OK
3674,0.330000,5.090000,32.750,166.250,0,OK
3694,0.325000,5.090000,33.000,166.250,0,OK
3714,0.327500,5.088750,32.750,166.250,0,OK
3734,0.327500,5.086250,32.750,166.250,0,OK
3754,0.325000,5.088750,32.500,166.250,0,OK
3774,0.327500,5.088750,32.750,166.250,0,OK
