condition,input_definition,n_runs,mae_mean_ma,mae_std_ma,mae_min_ma,mae_max_ma,me_mean_ma,rmse_mean_ma,measured_delta_mean_ma,predicted_delta_mean_ma
ble_adv_1000ms,occupancy,10,1.236671165795974,0.1268391497603392,1.1189218419064992,1.389744142831568,-0.3498395289212536,5.043953191071861,0.37373984796417514,0.023900319042921496
ble_adv_1000ms,pulse,10,1.2597692569541814,0.12836633353322946,1.143377781693047,1.4148317141113225,-0.34841923196417524,5.079084043288754,0.37373984796417514,0.025320616000000008
ble_adv_100ms,occupancy,10,3.908906600580109,0.14012059146916905,3.7382951840488934,4.0707017635664755,-2.8024311315662045,14.587689691718136,3.0414343219954185,0.23900319042921506
ble_adv_100ms,pulse,10,4.093709968094194,0.12750171353003864,3.940056075546496,4.23691620287877,-2.7989285059954185,14.695802689386113,3.0414343219954185,0.24250581600000004
ble_adv_500ms,occupancy,10,1.6111876627217,0.1349499554341611,1.4305303782442873,1.7370102262714782,-0.6572751831398593,6.8924277556774625,0.7050758212257024,0.04780063808584299
ble_adv_500ms,pulse,10,1.6544592796445408,0.1381512576359412,1.4720061967663514,1.7959883697504926,-0.6543286452257024,6.945771186346825,0.7050758212257024,0.05074717599999999
