interval_ms,condition,detected_bursts_mean,detected_bursts_std,detected_bursts_min,detected_bursts_max,detection_ratio_mean,detection_ratio_std,detection_ratio_min,detection_ratio_max,detection_threshold_ma_mean,detection_threshold_ma_std,burst_peak_delta_ma_mean_mean,burst_peak_delta_ma_mean_std,measured_delta_p5_ma_mean_mean,measured_delta_p5_ma_mean_std,measured_delta_median_ma_mean_mean,measured_delta_median_ma_mean_std,measured_delta_top5_mean_ma_mean_mean,measured_delta_top5_mean_ma_mean_std,pred_occ_delta_p5_ma_mean_mean,pred_occ_delta_p5_ma_mean_std,pred_occ_delta_median_ma_mean_mean,pred_occ_delta_median_ma_mean_std,pred_occ_delta_top5_mean_ma_mean_mean,pred_occ_delta_top5_mean_ma_mean_std,pred_pulse_delta_p5_ma_mean_mean,pred_pulse_delta_p5_ma_mean_std,pred_pulse_delta_median_ma_mean_mean,pred_pulse_delta_median_ma_mean_std,pred_pulse_delta_top5_mean_ma_mean_mean,pred_pulse_delta_top5_mean_ma_mean_std
100,ble_adv_100ms,198.4,2.4585451886114384,193,200,0.992,0.012292725943057217,0.965,1.0,4.283419542875539,0.2831273923569563,78.54715850706981,1.109921175653725,-0.6011702111655425,0.33886883522838707,49.11355916108169,0.919536799450286,74.80535908306373,1.2188488447594898,0.2394106671386594,0.0002880873539925681,0.23945140547661375,0.0002773361662328482,0.23949259702896644,0.00026651374088252966,0.22899402502047955,0.008887695992680484,0.2547609987675693,0.008850682720182156,0.29263002452733994,0.006891697884706469
500,ble_adv_500ms,39.3,2.213594362117865,33,40,0.9824999999999999,0.05533985905294666,0.825,1.0,4.451461943764518,0.5969019261863389,81.45013813454393,4.7413972885416475,-0.655136802331075,0.1751691130178451,50.63667765162725,3.172776135917243,77.31953641356901,4.727224645772119,0.0475336655504054,0.0004773285213113648,0.047557438223190196,0.00045638351441171265,0.047581446225187056,0.00043523119552658115,0.03158810770654509,0.0127527795124498,0.03792972173870678,0.012701881988353852,0.039994136236744,0.0135535664858665
1000,ble_adv_1000ms,16.0,0.0,16,16,0.8,0.0,0.8,0.8,10.742778724447403,0.20621079405225146,101.47174188269744,0.2712469760045691,-0.42873640917756434,0.22094849317435114,63.838095126447435,0.2660287666141447,96.94392869638318,0.23240665763799756,0.024037679999999135,0.0,0.024037679999999135,0.0,0.024037679999999135,0.0,2.745591819853215e-07,3.3889602327046865e-08,2.8717304220724495e-07,3.544613513581118e-08,3.0113967651104907e-07,3.716916604120615e-08
