condition,input_definition,n_runs,mae_mean_ma,mae_std_ma,mae_min_ma,mae_max_ma,me_mean_ma,me_std_ma,rmse_mean_ma,rmse_std_ma,measured_delta_mean_ma,measured_delta_std_ma,predicted_delta_mean_ma,predicted_delta_std_ma
adc_burst_100ms_1000samples,occupancy,10,6.651419715167329,0.01854818952310836,6.622799380054966,6.689502605115127,3.273067267660218,0.15367207882002729,7.187846788357836,0.06782885197410804,5.606554740704555,0.15367207882002654,8.879622008364779,0.0
adc_burst_100ms_1000samples,pulse,10,7.523547440608683,3.8641654348266443,3.8293623524409086,13.595325625597338,3.273811960095423,0.15367207882002792,9.437333442814026,4.065435393820248,5.606554740704555,0.15367207882002654,8.88036670079997,0.0
adc_burst_100ms_100samples,occupancy,10,1.6086888545549436,0.07708332764094067,1.4868033313333209,1.7140077221296577,0.2579243732869799,0.15401681090028888,2.7778052307132692,0.0592645399966533,0.6295533083420578,0.15401681090028901,0.8874776816290353,0.0
adc_burst_100ms_100samples,pulse,10,1.7543307843558817,0.35577189067818943,1.2806776770486943,2.323442352841774,0.25806747245794204,0.15401681090028888,3.7100280654970574,0.9987245447700922,0.6295533083420578,0.15401681090028901,0.8876207807999996,1.1702778228589004e-16
adc_burst_100ms_10samples,occupancy,10,0.917454549562158,0.12441326514426895,0.7781580346879663,1.0386179125646466,0.10163393025295257,0.1316544355313,1.2758600092520305,0.14704282690513362,0.006777242411923089,0.13165443553130007,0.10841117266487536,1.4628472785736255e-17
adc_burst_100ms_10samples,pulse,10,1.0011271658579357,0.1260921745778252,0.8659886743139015,1.1275480246780893,0.1015558583880769,0.13165443553130002,1.575672665998529,0.12248589268681408,0.006777242411923089,0.13165443553130007,0.10833310079999994,0.0
adc_single_100ms,occupancy,10,0.8884585559078794,0.13236462732298157,0.7310902504380474,1.0057173972013125,0.02149469781151679,0.13876876456922793,1.1463795972882929,0.17530476041060017,-0.01261184567510244,0.1387687645692279,0.008882852136414376,0.0
adc_single_100ms,pulse,10,0.8911652043542297,0.13189919426753935,0.7338497568620977,1.0071824506083527,0.02201982647510241,0.13876876456922788,1.150238668323266,0.17472977820847918,-0.01261184567510244,0.1387687645692279,0.009407980799999981,0.0
adc_single_10ms,occupancy,10,0.8656627755952752,0.11212377331847331,0.775239751289832,1.0308288009624362,-0.0006336166224924972,0.22225008059293236,1.13054309796357,0.14554903049114903,0.08946213798663635,0.22225008059293228,0.08882852136414389,0.0
adc_single_10ms,pulse,10,0.9008803963910568,0.10427026287865275,0.8185995643862352,1.0543617055046517,0.009210622013291503,0.22225008059293222,1.1753790684881296,0.13629569628627947,0.08946213798663635,0.22225008059293228,0.09867275999992788,0.0
adc_single_1ms,occupancy,10,12.44620303133195,0.19245463321474396,12.16632907253742,12.714186710790845,-12.440942889561898,0.1946963312783487,12.511251917629181,0.1835365902051333,13.329228103203338,0.19469633127835076,0.8882852136414356,0.0
adc_single_1ms,pulse,10,12.348115059210294,0.19221927144755008,12.068212900020692,12.61557504466888,-12.342255974950405,0.1946963312783501,12.424788395863594,0.1832465682749449,13.329228103203338,0.19469633127835076,0.9869721282529372,1.1702778228589004e-16
